LKID	Phyla	Genera	Species	KHID	BodySite
LK2609	Actinobacteriota	Corynebacterium		176	Ventral (dry)
LK2610	Actinobacteriota	Rothia		177	Axilla (moist)
LK2611	Actinobacteriota	Corynebacterium		177	Axilla (moist)
LK2612	Actinobacteriota	Corynebacterium		177	Axilla (moist)
LK2613	Actinobacteriota	Corynebacterium		177	Axilla (moist)
LK2614	Actinobacteriota	Corynebacterium		177	Axilla (moist)
LK2615	Actinobacteriota	Corynebacterium		177	Axilla (moist)
LK2616	Actinobacteriota	Rothia		177	Axilla (moist)
LK2617	Firmicutes	Paenibacillus		177	Axilla (moist)
LK2618	Actinobacteriota	Corynebacterium		177	Axilla (moist)
LK2619	Actinobacteriota	Corynebacterium		177	Axilla (moist)
LK2620	Actinobacteriota	Corynebacterium		177	Axilla (moist)
LK2621	Actinobacteriota	Corynebacterium		177	Axilla (moist)
LK2622	Actinobacteriota	Corynebacterium		177	Axilla (moist)
LK2623	Actinobacteriota	Corynebacterium		177	Axilla (moist)
LK2624	Actinobacteriota	Corynebacterium		178	Inguinal (moist)
LK2625	Actinobacteriota	Kocuria		178	Inguinal (moist)
LK2626	Actinobacteriota	Kocuria		178	Inguinal (moist)
LK2627	Actinobacteriota	Corynebacterium		178	Inguinal (moist)
LK2628				178	Inguinal (moist)
LK2629				178	Inguinal (moist)
LK2630				178	Inguinal (moist)
LK2631				178	Inguinal (moist)
LK2632	Actinobacteriota	Kocuria		178	Inguinal (moist)
LK2633	Actinobacteriota	Kocuria		178	Inguinal (moist)
LK2634	Actinobacteriota	Kocuria		178	Inguinal (moist)
LK2635				178	Inguinal (moist)
LK2636	Actinobacteriota	Micrococcus		178	Inguinal (moist)
LK2637	Actinobacteriota	Rothia		178	Inguinal (moist)
LK2638	Actinobacteriota	Corynebacterium		178	Inguinal (moist)
LK2639				178	Inguinal (moist)
LK2640	Actinobacteriota	Corynebacterium		178	Inguinal (moist)
LK2641				178	Inguinal (moist)
LK2642	Actinobacteriota	Rothia		179	Oral (moist)
LK2643	Actinobacteriota	Corynebacterium		179	Oral (moist)
LK2644	Actinobacteriota	Rothia		179	Oral (moist)
LK2645				179	Oral (moist)
LK2646	Proteobacteria	Pseudomonas		179	Oral (moist)
LK2647	Actinobacteriota	Rothia		179	Oral (moist)
LK2648				179	Oral (moist)
LK2649	Actinobacteriota	Rothia		179	Oral (moist)
LK2650	Proteobacteria	Pseudomonas		179	Oral (moist)
LK2651	Actinobacteriota	Rothia		179	Oral (moist)
LK2652				179	Oral (moist)
LK2653	Actinobacteriota	Rothia		179	Oral (moist)
LK2654	Actinobacteriota	Rothia		179	Oral (moist)
LK2655				179	Oral (moist)
LK2656	Actinobacteriota	Rothia		179	Oral (moist)
LK2657				179	Oral (moist)
LK2658	Actinobacteriota	Rothia	nasimurium	180	Nares (moist)
LK2659	Actinobacteriota	Corynebacterium		180	Nares (moist)
LK2660	Actinobacteriota	Kocuria		180	Nares (moist)
LK2661	Actinobacteriota	Brachybacterium		180	Nares (moist)
LK2662	Actinobacteriota	Corynebacterium		180	Nares (moist)
LK2663				180	Nares (moist)
LK2664	Actinobacteriota	Micrococcus		180	Nares (moist)
