sample-id	forward-absolute-filepath	reverse-absolute-filepath		Full_ID	Pig	Date_mddyy	Timepoint	Dorsal_Ventral	Burn_Excisional	Infection_Group	Replicate	SampleType	ExGroup
Kalan16S006-073	/Users/karindadelacruz/LK16S006/16SKalan16S006-073-16S_S73_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-073-16S_S73_L001_R2_001.fastq.gz		WM1-052822-D-B-U-1	WM1	52822	4	D	B	U	1	Gauze in PBS	WM1-4-D-B-U
Kalan16S006-074	/Users/karindadelacruz/LK16S006/16SKalan16S006-074-16S_S74_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-074-16S_S74_L001_R2_001.fastq.gz		WM1-052822-D-B-U-2	WM1	52822	4	D	B	U	2	Gauze in PBS	WM1-4-D-B-U
Kalan16S006-075	/Users/karindadelacruz/LK16S006/16SKalan16S006-075-16S_S75_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-075-16S_S75_L001_R2_001.fastq.gz		WM1-052822-D-B-U-3	WM1	52822	4	D	B	U	3	Gauze in PBS	WM1-4-D-B-U
Kalan16S006-076	/Users/karindadelacruz/LK16S006/16SKalan16S006-076-16S_S76_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-076-16S_S76_L001_R2_001.fastq.gz		WM1-052822-D-E-C-1	WM1	52822	4	D	E	C	1	Gauze in PBS	WM1-4-D-E-C
Kalan16S006-077	/Users/karindadelacruz/LK16S006/16SKalan16S006-077-16S_S77_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-077-16S_S77_L001_R2_001.fastq.gz		WM1-052822-D-B-C-1	WM1	52822	4	D	B	C	1	Gauze in PBS	WM1-4-D-B-C
Kalan16S006-078	/Users/karindadelacruz/LK16S006/16SKalan16S006-078-16S_S78_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-078-16S_S78_L001_R2_001.fastq.gz		WM1-052822-D-E-C-2	WM1	52822	4	D	E	C	2	Gauze in PBS	WM1-4-D-E-C
Kalan16S006-079	/Users/karindadelacruz/LK16S006/16SKalan16S006-079-16S_S79_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-079-16S_S79_L001_R2_001.fastq.gz		WM1-052822-D-B-C-2	WM1	52822	4	D	B	C	2	Gauze in PBS	WM1-4-D-B-C
Kalan16S006-080	/Users/karindadelacruz/LK16S006/16SKalan16S006-080-16S_S80_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-080-16S_S80_L001_R2_001.fastq.gz		WM1-052822-D-B-B-1	WM1	52822	4	D	B	B	1	Gauze in PBS	WM1-4-D-B-B
Kalan16S006-081	/Users/karindadelacruz/LK16S006/16SKalan16S006-081-16S_S81_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-081-16S_S81_L001_R2_001.fastq.gz		WM1-052822-D-E-B-1	WM1	52822	4	D	E	B	1	Gauze in PBS	WM1-4-D-E-B
Kalan16S006-082	/Users/karindadelacruz/LK16S006/16SKalan16S006-082-16S_S82_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-082-16S_S82_L001_R2_001.fastq.gz		WM1-052822-D-B-B-2	WM1	52822	4	D	B	B	2	Gauze in PBS	WM1-4-D-B-B
Kalan16S006-083	/Users/karindadelacruz/LK16S006/16SKalan16S006-083-16S_S83_L001_R1_001.fastq.gz	/Users/karindadelacruz/LK16S006/16SKalan16S006-083-16S_S83_L001_R2_001.fastq.gz		WM1-052822-D-E-B-2	WM1	52822	4	D	E	B	2	Gauze in PBS	WM1-4-D-E-B
